District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Kasese District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,630,0,630
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"227004 Fuel, Lubricants and Oils",0,0,932,0,0,932
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211103 Allowances,0,0,500,0,0,500
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"211102 Contract Staff Salaries (Incl. Casuals, ",0,0,900,0,0,900
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"221011 Printing, Stationery, Photocopying and ",0,0,90,0,0,90
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,222001 Telecommunications,0,0,0,0,0,0
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,221009 Welfare and Entertainment,0,0,500,0,0,500
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,221012 Small Office Equipment,0,0,300,0,0,300
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,138112 Information collection and management ,221008 Computer supplies and Information ,0,0,500,0,0,500
Kasese District,Education,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,"2,000",0,0,"2,000"
Kasese District,Education,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,911",0,"1,911"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"1,767",0,0,"1,767"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,"1,055",0,0,"1,055"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221009 Welfare and Entertainment,0,0,245,0,0,245
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"3,086",0,0,"3,086"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,222001 Telecommunications,0,0,"1,500",0,0,"1,500"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,222003 Information and communications ,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,806",0,"1,806"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,720,0,0,720
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,227001 Travel inland,0,0,"1,200",0,0,"1,200"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,148172 Administrative Capital,221002 Workshops and Seminars,0,0,"1,163",0,0,"1,163"
Kasese District,Administration,0181 Agricultural Extension Services,03  Capital Purchases,018175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"9,800",0,"9,800"
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088180 Health Centre Construction and Rehabilitation,312101 Non-Residential Buildings ,0,0,0,"15,000",0,"15,000"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"8,832",0,"8,832"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,900,0,900
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,212201 Social Security Contributions,0,0,400,0,0,400
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,600,0,0,600
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,973,0,0,973
Kasese District,Administration,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"7,000",0,"7,000"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211103 Allowances,0,0,"1,600",0,0,"1,600"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,"228003 Maintenance ±Machinery, Equipment  ",0,0,929,0,0,929
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,138111 Records Management Services,221002 Workshops and Seminars,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1381 District and Urban Administration,02  Lower Local Services,138151 Lower Local Government Administration,263104 Transfers to  other govt. units (Current),0,0,0,"2,000",0,"2,000"
Kasese District,Administration,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"1,175",0,"1,175"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"6,895",0,0,"6,895"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221007 Books, Periodicals  Newspapers",0,0,"1,076",0,0,"1,076"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221008 Computer supplies and Information ,0,0,"5,000",0,0,"5,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"5,951",0,0,"5,951"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"6,000",0,0,"6,000"
Kasese District,Administration,1481 Financial Management and Accountability(LG),03  Capital Purchases,148172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"10,506",0,"10,506"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,148172 Administrative Capital,211103 Allowances,0,0,700,0,0,700
Kasese District,Administration,0881 Primary Healthcare,03  Capital Purchases,088180 Health Centre Construction and Rehabilitation,312102 Residential Buildings ,0,0,0,"2,700",0,"2,700"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"6,920",0,"6,920"
Kasese District,Administration,0781 Pre-Primary and Primary Education,03  Capital Purchases,078181 Latrine construction and rehabilitation,312101 Non-Residential Buildings ,0,0,0,"10,000",0,"10,000"
Kasese District,Education,"0481 District, Urban and Community Access Roads",03  Capital Purchases,048175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"4,386",0,"4,386"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"19,370",0,"19,370"
Kasese District,Education,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,311101 Land,0,0,0,"1,000",0,"1,000"
Kasese District,Education,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211103 Allowances,0,0,"1,522",0,0,"1,522"
Kasese District,Education,1081 Community Mobilisation and Empowerment,03  Capital Purchases,108175 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"11,326",0,"11,326"
Kasese District,Education,1381 District and Urban Administration,01  Higher LG Services,108175 Non Standard Service Delivery Capital,211101 General Staff Salaries,0,"43,153",0,0,0,"43,153"
Kasese District,Education,1381 District and Urban Administration,03  Capital Purchases,138172 Administrative Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"6,664",0,"6,664"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,500,0,0,500
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"3,200",0,0,"3,200"
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,"221011 Printing, Stationery, Photocopying and ",0,0,673,0,0,673
Kasese District,Administration,1481 Financial Management and Accountability(LG),01  Higher LG Services,138172 Administrative Capital,227001 Travel inland,0,0,"3,200",0,0,"3,200"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"5,000",0,0,"5,000"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,221002 Workshops and Seminars,0,0,"2,000",0,0,"2,000"
Kasese District,Administration,1382 Local Statutory Bodies,01  Higher LG Services,138172 Administrative Capital,221008 Computer supplies and Information ,0,0,"10,671",0,0,"10,671"
Kasese District,Administration,0181 Agricultural Extension Services,01  Higher LG Services,138172 Administrative Capital,211103 Allowances,0,0,"5,517",0,0,"5,517"
Kasese District,Administration,0983 Natural Resources Management,03  Capital Purchases,098375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,"7,840",0,"7,840"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,211103 Allowances,0,0,500,0,0,500
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221002 Workshops and Seminars,0,0,"1,500",0,0,"1,500"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,"221007 Books, Periodicals  Newspapers",0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,098375 Non Standard Service Delivery Capital,221008 Computer supplies and Information ,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108110 Support to Disabled and the Elderly ,221009 Welfare and Entertainment,0,0,"1,500",0,0,"1,500"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108114 Representation on Women's Councils,212201 Social Security Contributions,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108116 Social Rehabilitation Services,221002 Workshops and Seminars,0,0,"1,000",0,0,"1,000"
Kasese District,Administration,1081 Community Mobilisation and Empowerment,01  Higher LG Services,108117 Operation of the Community Based Services Department ,227001 Travel inland,0,0,"1,167",0,0,"1,167"
Kasese District,Administration,1381 District and Urban Administration,01  Higher LG Services,108117 Operation of the Community Based Services Department ,211101 General Staff Salaries,0,"104,171",0,0,0,"104,171"
